地区,校区,自治区,センター,カレンダーNo
佐賀関,一尺屋,江川,佐賀関支所,33
佐賀関,一尺屋,笠方,佐賀関支所,33
佐賀関,一尺屋,下河原,佐賀関支所,33
佐賀関,一尺屋,中上,佐賀関支所,33
佐賀関,一尺屋,中江川,佐賀関支所,33
佐賀関,一尺屋,中下,佐賀関支所,33
佐賀関,一尺屋,西上,佐賀関支所,33
佐賀関,一尺屋,西下,佐賀関支所,33
佐賀関,一尺屋,早出,佐賀関支所,33
佐賀関,一尺屋,浜方,佐賀関支所,33
佐賀関,一尺屋,東上,佐賀関支所,33
佐賀関,一尺屋,東下,佐賀関支所,33
佐賀関,関,秋の江,佐賀関支所,34
佐賀関,関,金山,佐賀関支所,34
佐賀関,関,汐見,佐賀関支所,34
佐賀関,関,福水,佐賀関支所,34
佐賀関,関,辛幸1,佐賀関支所,35
佐賀関,関,辛幸2,佐賀関支所,35
佐賀関,関,日鉱住宅,佐賀関支所,35
佐賀関,関,古宮,佐賀関支所,35
佐賀関,関,緑ケ丘,佐賀関支所,35
佐賀関,関,黒砂,佐賀関支所,36
佐賀関,関,佐賀関H25住宅,佐賀関支所,36
佐賀関,関,田尻,佐賀関支所,36
佐賀関,関,鮮浜,佐賀関支所,36
佐賀関,関,本町,佐賀関支所,36
佐賀関,関,真砂,佐賀関支所,36
佐賀関,関,御幸,佐賀関支所,36
佐賀関,大志生木,大志生木1,佐賀関支所,37
佐賀関,大志生木,大志生木2,佐賀関支所,37
佐賀関,大志生木,大志生木3,佐賀関支所,37
佐賀関,大志生木,大志生木4,佐賀関支所,37
佐賀関,大志生木,大志生木5,佐賀関支所,37
佐賀関,木佐上,木佐上1,佐賀関支所,38
佐賀関,木佐上,木佐上2,佐賀関支所,38
佐賀関,木佐上,木佐上3,佐賀関支所,38
佐賀関,木佐上,木佐上4,佐賀関支所,38
佐賀関,木佐上,木佐上5,佐賀関支所,38
佐賀関,本神崎,中山,佐賀関支所,38
佐賀関,関,小浜,佐賀関支所,39
佐賀関,関,神山,佐賀関支所,39
佐賀関,関,迫,佐賀関支所,39
佐賀関,関,田中1,佐賀関支所,39
佐賀関,関,田中2,佐賀関支所,39
佐賀関,関,田中3,佐賀関支所,39
佐賀関,関,辻,佐賀関支所,39
佐賀関,関,西町,佐賀関支所,39
佐賀関,関,西脇,佐賀関支所,39
佐賀関,関,東町,佐賀関支所,39
佐賀関,関,古屋敷,佐賀関支所,39
佐賀関,本神崎,駅,佐賀関支所,40
佐賀関,本神崎,小猫,佐賀関支所,40
佐賀関,本神崎,中,佐賀関支所,40
佐賀関,本神崎,馬場,佐賀関支所,40
佐賀関,本神崎,東上,佐賀関支所,40
佐賀関,本神崎,東下,佐賀関支所,40
野津原,今市,石合,西部清掃事務所,41
野津原,今市,小原,西部清掃事務所,41
野津原,今市,杵ヶ原,西部清掃事務所,41
野津原,今市,高沢,西部清掃事務所,41
野津原,今市,荷小野,西部清掃事務所,41
野津原,今市,山中,西部清掃事務所,41
野津原,中部,竹の内,西部清掃事業所,41
野津原,東部,柿野,西部清掃事業所,41
野津原,東部,愛宕,西部清掃事業所,42
野津原,東部,入蔵,西部清掃事業所,42
野津原,東部,恵良,西部清掃事業所,42
野津原,東部,看大住宅,西部清掃事業所,42
野津原,東部,小屋鶴,西部清掃事業所,42
野津原,東部,新界,西部清掃事業所,42
野津原,東部,新川,西部清掃事業所,42
野津原,東部,なゝせ,西部清掃事業所,42
野津原,東部,舟ヶ平,西部清掃事業所,42
野津原,東部,本町,西部清掃事業所,42
野津原,東部,廻栖,西部清掃事業所,42
野津原,東部,廻栖住宅,西部清掃事業所,42
野津原,東部,吉熊,西部清掃事業所,42
野津原,今市,石合原,西部清掃事務所,43
野津原,今市,一本櫟,西部清掃事務所,43
野津原,今市,今市町,西部清掃事務所,43
野津原,今市,上石合,西部清掃事務所,43
野津原,今市,白家,西部清掃事務所,43
野津原,今市,摺,西部清掃事務所,43
野津原,今市,練ヶ迫,西部清掃事務所,43
野津原,西部,上詰,西部清掃事業所,43
野津原,西部,下詰,西部清掃事業所,43
野津原,西部,湛水,西部清掃事業所,43
野津原,中部,今畑,西部清掃事業所,43
野津原,中部,田ノ口,西部清掃事業所,43
野津原,中部,長尾台,西部清掃事業所,43
野津原,中部,原村,西部清掃事業所,43
野津原,中部,太田,西部清掃事業所,44
野津原,中部,岡倉,西部清掃事業所,44
野津原,中部,沢田,西部清掃事業所,44
野津原,中部,日方羽原,西部清掃事業所,44
野津原,中部,矢ノ原,西部清掃事業所,44
野津原,東部,新町,西部清掃事業所,44
野津原,東部,辻原,西部清掃事業所,44
野津原,東部,福宗一,西部清掃事業所,44
野津原,東部,福宗二,西部清掃事業所,44
佐賀関,関,見尾,佐賀関支所,",電話対応"
